Product_Code,Configuration,Type
20QNCTO1WWENUS0,%5B%22NBCOUNTRY_REGION%3AUSA%22%2C%22NBREGION%3AROW%22%2C%22NBGEO%3ANA%22%2C%22NBPRELOAD_TYPE%3ASTANDARD_IMAGE%22%2C%22NBPROCESSOR%3ACORE_I5-9400H_2.5G_4C_VPRO_MB%22%2C%22NBPRELOAD_OS%3AWINDOWS_10_HOME_64%22%2C%22NBOS_TYPE%3AWINDOWS_10_STANDARD%22%2C%22NBPRELOAD_LANGUAGE%3AW10_H64-ENG%22%2C%22NBMICROSOFT_OFFICE%3ANONE%22%2C%22NBDIMM_MEMORY%3A8GB_DDR4_2666_SODIMM%22%2C%22NBRAID%3ANO%22%2C%22NBRAID_CONFIG%3ANO%22%2C%22NBSTORAGE_SELECTION%3A256GB_M.2_2280_NVME_TLC_OPAL%22%2C%22NBSECOND_STORAGE_SELECTION%3ANONE%22%2C%22NBTHIRD_STORAGE_SELECTION%3ANONE%22%2C%22NBHDD_TOTAL_CAPACITY%3A256GB%22%2C%22NBOPTANE_MEMORY%3ANONE%22%2C%22NBHDD_CONFIG%3ASSD%22%2C%22NBDISPLAY%3A15.6FHD_IPS_AG_300N%22%2C%22NBGRAPHICS%3AQUADRO_T1000_4G_G5_128B%22%2C%22NBFINGERPRINT_READER%3AFINGERPRINT_READER%22%2C%22NBNFC%3ANO_NFC%22%2C%22NBKEYBOARD%3ABACKLIT_KB_NP_BK_ENG%22%2C%22NBKEYBOARD_PATCH%3ANONE%22%2C%22NBCAMERA%3A720P_HD_CAMERA_W%2FMIC%22%2C%22NBCOLOR_CALIBRATION%3ANONE%22%2C%22NBLENOVO_PEN%3ANONE%22%2C%22NBPOINTING_DEVICE%3AFINGERPRINT%22%2C%22NBSECURITY_CHIP_SETTING%3AENABLED_DISCRETE_TPM2.0%22%2C%22NBSYSTEM_EXPANSION_SLOTS%3ANO_SMART_CARD_READER%22%2C%22NBBATTERY%3A6CELL_90WH_INTERNAL%22%2C%22NBPOWER_ADAPTER%3A170W_SLIM_2PIN_BK_US%22%2C%22NBWIRELESS_LAN%3AINTEL_AX200_2X2AX%2BBT_VPRO_WW%22%2C%22NBWWAN_SELECTION%3ANO_WWAN%22%2C%22NBWIRELESS_WAN%3ANONE%22%2C%22NBWWAN_SIM_CARD%3ANONE%22%2C%22NBGRAPHIC_DONGLE%3ANONE%22%2C%22NBGRAPHIC_DONGLE_2%3ANONE%22%2C%22NBGRAPHIC_DONGLE_3%3ANONE%22%2C%22NBVPRO_CERTIFIED_MODEL%3AVPRO_CERTIFIED%22%2C%22NBDISPLAY_SHELL%3AP53_FHD_300N_NT_2D_MC_WL%22%2C%22NBPUBLICATION%3APUB_ENG%22%2C%22NBADOBE_ELEMENTS%3ANONE%22%2C%22NBADOBE_ACROBAT%3ANONE%22%2C%22NBSECURITY_SOFTWARE%3ANONE%22%2C%22NBWARRANTY%3AN01_1Y_COURIER%2FCARRYIN%22%2C%22NBP53_OTHERS1%3ANONE%22%2C%22NBP53_OTHERS2%3ANONE%22%2C%22NBCPU_LABEL%3AINTEL_CORE_I5_VPRO_9G_TITANIUM%22%2C%22NBPACKAGE_BOX%3ASTANDARD%22%2C%22NBSYSTEM_UNIT%3AP53_I5-9400H_VPRO_T1000_4G%22%2C%22NBMICROSOFT_LABEL%3ANONE%22%2C%22NBMARKETING_NAME%3AP53_MAINSTREAM_WORKSTATION%22%2C%22NBOFFERING_MODEL%3ATRANSACTIONAL_MODEL%22%2C%22NBPUBLICATION_2%3APUB_ENG%2FBRL%2FFRA%2FARA%2FSPA%22%2C%22NBRECOVERY_MEDIA%3ANONE%22%2C%22NBSWAPP_MISC_1%3ANONE%22%2C%22NBOS_DPK%3AW10_HOME%22%2C%22NBSWAPP_MISC_2%3ANONE%22%2C%22NBSWAPP_MISC_3%3ANONE%22%2C%22NBSYSTEM_UNIT_2ND%3AD_COVER_W%2FDUMMY_SIM_COVER%22%2C%22NBDISPLAY_SHELL_2ND%3AHINGE_CAP_NON_TOUCH%22%2C%22NBACCESSORIES_1%3ANONE%22%2C%22NBACCESSORIES_2%3ANONE%22%2C%22NBACCESSORIES_3%3ANONE%22%2C%22NBBIOS_SECURITY_SETTING%3ANONE%22%2C%22NBITC_HARDDRIVE_ENCRYPTION_SVC%3ANONE%22%2C%22NBITC_IMAGE_MANAGEMENT%3ANONE%22%2C%22NBITC_LASER_ETCHING%3ANONE%22%2C%22NBITC_VPRO_PROVISIONING_SVC%3ANONE%22%2C%22NBITC_CI_PROJECT_TYPE_SVC%3ANONE%22%2C%22NBITC_CI_SMART_IMAGING_SVC%3ANONE%22%2C%22NBITC_CI_WHO_CREATED_IMAGE_SVC%3ANONE%22%2C%22NBITC_CLOUD_RECOVERY%3ANONE%22%2C%22NBITC_DROP_IN_BOX%3ANONE%22%2C%22NBITC_ESSENTIAL_IMAGE%3ANONE%22%2C%22NBITC_ESSENTIAL_PREM_ASSET_TAG%3ANONE%22%2C%22NBMB_FRU_LABEL%3AWIN_Y-AMT_Y-DTPM%22%2C%22NBITC_CI_ENHANCED_SVC%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN1%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN2%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN3%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN4%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN5%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN6%3ANONE%22%2C%22NBITC_ASSET_TAG_SVC%3ANONE%22%2C%22NBITC_BIOS_CUSTOMIZATION_SVC%3ANONE%22%2C%22NBENTERPRISE_READY_PRELOAD%3ANONE%22%5D,CTO
81HY000DUS,,MTM
20R1CTO1WWENUS0,%5B%22NBCOUNTRY_REGION%3AUSA%22%2C%22NBGEO%3ANA%22%2C%22NBREGION%3AROW%22%2C%22NBPRELOAD_TYPE%3ASTANDARD_IMAGE%22%2C%22NBOFFERING_MODEL%3ATRANSACTIONAL_MODEL%22%2C%22NBPROCESSOR%3ACORE_I5-10210U_1.6G_4C_MB%22%2C%22NBPRELOAD_OS%3AWINDOWS_10_HOME_64%22%2C%22NBOS_TYPE%3AWINDOWS_10_STANDARD%22%2C%22NBPRELOAD_LANGUAGE%3AW10_H64-ENG%22%2C%22NBMICROSOFT_OFFICE%3ANONE%22%2C%22NBONBOARD_MEMORY%3A8GB%284X16GBX32%29_LPDDR3_2133%22%2C%22NBSTORAGE_SELECTION%3A256GB_SSD_M.2_2280_NVME_TLC_OP%22%2C%22NBDISPLAY%3A14.0FHD_IPS_AG_400N_LP%22%2C%22NBCOLOR%3ABLACK%22%2C%22NBTOP_COVER_MATERIAL%3ACARBON_FIBER_W%2FBLACK_PAINT%22%2C%22NBGRAPHICS%3AINTEGRATED_GRAPHICS%22%2C%22NBCAMERA%3A720P_HD_CAMERA_W%2FMIC%22%2C%22NBWIRELESS_LAN%3AINTEL_9560_2X2AC%2BBT_VPRO_MB%22%2C%22NBWWAN_SELECTION%3ANO_WWAN%22%2C%22NBINTEGRATED_WIRELESS_ANTENNA%3AWLAN_ANTENNA%22%2C%22NBWIRELESS_WAN%3ANONE%22%2C%22NBWWAN_SIM_CARD%3ANONE%22%2C%22NBETHERNET_DONGLE%3ANONE%22%2C%22NBGRAPHIC_DONGLE%3ANONE%22%2C%22NBNFC%3ANO_NFC%22%2C%22NBFINGERPRINT_READER%3AFINGERPRINT_READER%22%2C%22NBKEYBOARD%3ABKLT_KB_BK_FPR_ENG%22%2C%22NBKB_DERIVE%3AENG%22%2C%22NBKEYBOARD_PATCH%3ANONE%22%2C%22NBSECURITY_CHIP_SETTING%3AENABLED_DISCRETE_TPM2.0%22%2C%22NBABSOLUTE_BIOS_SELECTION%3ABIOS_ABSOLUTE_ENABLED%22%2C%22NBBATTERY%3A4CELL_51WH_INTERNAL%22%2C%22NBPOWER_ADAPTER%3A65W_USB-C_PCC_2PIN_BK_US%22%2C%22NBVPRO_CERTIFIED_MODEL%3ANOT_VPRO_CERTIFIED%22%2C%22NBELECTRONIC_PRIVACY_FILTER%3ANONE%22%2C%22NBDISPLAY_SHELL%3AX1C7_FHD_LP_2D_MC_BK%22%2C%22NBPACKAGE_BOX_TYPE%3ARETAIL_PACKAGING%22%2C%22NBPUBLICATION%3APUB_ENG%22%2C%22NBADOBE_ELEMENTS%3ANONE%22%2C%22NBADOBE_ACROBAT%3ANONE%22%2C%22NBSECURITY_SOFTWARE%3ANONE%22%2C%22NBENTERPRISE_READY_PRELOAD%3ANONE%22%2C%22NBWARRANTY%3AN01_1Y_COURIER%2FCARRYIN%22%2C%22NBCPU_TYPE%3ALOW_END%22%2C%22NBCPU_LABEL%3ACORE_I5_10GEN_TI%22%2C%22NBOSL_DERIVE%3AENG%22%2C%22NBSYSTEM_UNIT%3AX1C7_I5-10210U_IG%2B8G%2B9560%22%2C%22NBSYSTEM_UNIT_2ND%3AD-COVER_WLAN_BK%22%2C%22NBPANEL%3AFHD%22%2C%22NBPUBLICATION_2%3APUB_ENG%2FBRL%2FFRA%2FARA%2FSPA%22%2C%22NBPACKAGE_BOX%3ARETAIL%22%2C%22NBMB_FRU_LABEL%3AWIN_N-AMT_Y-DTPM%22%2C%22NBMICROSOFT_LABEL%3ANONE%22%2C%22NBBIOS_SECURITY_SETTING%3ANONE%22%2C%22NBACCESSORIES_1%3ANONE%22%2C%22NBACCESSORIES_2%3ANONE%22%2C%22NBACCESSORIES_3%3ANONE%22%2C%22NBITC_ASSET_TAG_SVC%3ANONE%22%2C%22NBITC_BIOS_CUSTOMIZATION_SVC%3ANONE%22%2C%22NBITC_CI_ENHANCED_SVC%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN1%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN2%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN3%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN4%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN5%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN6%3ANONE%22%2C%22NBITC_CI_PROJECT_TYPE_SVC%3ANONE%22%2C%22NBITC_CI_SMART_IMAGING_SVC%3ANONE%22%2C%22NBITC_CI_WHO_CREATED_IMAGE_SVC%3ANONE%22%2C%22NBITC_CLOUD_RECOVERY%3ANONE%22%2C%22NBITC_DROP_IN_BOX%3ANONE%22%2C%22NBITC_ESSENTIAL_IMAGE%3ANONE%22%2C%22NBITC_ESSENTIAL_PREM_ASSET_TAG%3ANONE%22%2C%22NBITC_HARDDRIVE_ENCRYPTION_SVC%3ANONE%22%2C%22NBITC_IMAGE_MANAGEMENT%3ANONE%22%2C%22NBITC_VPRO_PROVISIONING_SVC%3ANONE%22%2C%22NBRECOVERY_MEDIA%3ANONE%22%2C%22NBSWAPP_MISC_1%3ANONE%22%2C%22NBSWAPP_MISC_2%3ANONE%22%2C%22NBSWAPP_MISC_3%3ANONE%22%2C%22NBX1C7_OTHERS3%3ANONE%22%2C%22NBX1C7_OTHERS4%3ANONE%22%2C%22NBGOOGLE_CHROME_BROWSER%3ANONE%22%2C%22NB3PO_SOFTWARE_WINMAGIC%3ANONE%22%2C%22NBITC_LASER_ETCHING%3ANONE%22%2C%22NBOS_DPK%3AW10_HOME%22%5D,CTO
20QD001UUS,,MTM
20QVCTO1WWENUS0,%5B%22NBCOUNTRY_REGION%3AUSA%22%2C%22NBREGION%3AROW%22%2C%22NBGEO%3ANA%22%2C%22NBPROCESSOR%3ACORE_I5-9300H_2.4G_4C_MB%22%2C%22NBCPU_TYPE%3ALOW_END%22%2C%22NBPRELOAD_OS%3AWINDOWS_10_HOME_64%22%2C%22NBOS_TYPE%3AWINDOWS_10_STANDARD%22%2C%22NBPRELOAD_LANGUAGE%3AW10_H64-ENG%22%2C%22NBPRELOAD_TYPE%3ASTANDARD_IMAGE%22%2C%22NBMICROSOFT_OFFICE%3ANONE%22%2C%22NBDIMM_MEMORY%3A8GB_DDR4_2666_SODIMM%22%2C%22NBRAID%3ANO%22%2C%22NBSTORAGE_SELECTION%3A256GB_M.2_2280_NVME_TLC_OPAL%22%2C%22NBSECOND_STORAGE_SELECTION%3ANONE%22%2C%22NBHDD_TOTAL_CAPACITY%3A256GB%22%2C%22NBDISPLAY%3A15.6FHD_IPS_AG_300N%22%2C%22NBX1E2_OTHERS2%3ANONE%22%2C%22NBGRAPHICS%3AGTX_1650_4GB_G5_128B%22%2C%22NBFINGERPRINT_READER%3AFINGERPRINT_READER%22%2C%22NBKEYBOARD%3ABACKLIT_KB_BK_FPR_ENG%22%2C%22NBCAMERA%3A720P_HD_CAMERA_W%2FMIC%22%2C%22NBCOLOR_CALIBRATION%3ANONE%22%2C%22NBLENOVO_PEN%3ANONE%22%2C%22NBSECURITY_CHIP_SETTING%3AENABLED_DISCRETE_TPM2.0%22%2C%22NBSYSTEM_EXPANSION_SLOTS%3ANO_SMART_CARD_READER%22%2C%22NBBATTERY%3A4CELL_80WH_INTERNAL%22%2C%22NBPOWER_ADAPTER%3A135W_2PIN_BK_US%22%2C%22NBWIRELESS_LAN%3AINTEL_AX200_2X2AX%2BBT_VPRO_WW%22%2C%22NBGRAPHIC_DONGLE%3ANONE%22%2C%22NBGRAPHIC_DONGLE_2%3ANONE%22%2C%22NBGRAPHIC_DONGLE_3%3ANONE%22%2C%22NBETHERNET_DONGLE%3ANONE%22%2C%22NBVPRO_CERTIFIED_MODEL%3ANOT_VPRO_CERTIFIED%22%2C%22NBDISPLAY_SHELL%3AX1E2_FHD_300N_NT_2D_MC%22%2C%22NBPACKAGE_BOX_TYPE%3ARETAIL_PACKAGING%22%2C%22NBPUBLICATION%3APUB_ENG%22%2C%22NBADOBE_ELEMENTS%3ANONE%22%2C%22NBADOBE_ACROBAT%3ANONE%22%2C%22NBSECURITY_SOFTWARE%3ANONE%22%2C%22NBENTERPRISE_READY_PRELOAD%3ANONE%22%2C%22NBX1E2_OTHERS1%3ANONE%22%2C%22NBWARRANTY%3AN01_1Y_COURIER%2FCARRYIN%22%2C%22NBITC_IMAGE_MANAGEMENT%3ANONE%22%2C%22NBITC_CLOUD_RECOVERY%3ANONE%22%2C%22NBITC_CI_PROJECT_TYPE_SVC%3ANONE%22%2C%22NBITC_CI_ENHANCED_SVC%3ANONE%22%2C%22NBWLAN_MISC_PARTS%3AWLAN_MISC_PARTS-WLAN_CARD%22%2C%22NBMICROSOFT_LABEL%3ANONE%22%2C%22NBITC_HARDDRIVE_ENCRYPTION_SVC%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN4%3ANONE%22%2C%22NBITC_ASSET_TAG_SVC%3ANONE%22%2C%22NBBIOS_SECURITY_SETTING%3ANONE%22%2C%22NBITC_CI_WHO_CREATED_IMAGE_SVC%3ANONE%22%2C%22NBSYSTEM_UNIT_2ND%3ANONE%22%2C%22NBRAID_CONFIG%3ANO%22%2C%22NBITC_CI_IMAGING_SERVICE_PN1%3ANONE%22%2C%22NBACCESSORIES_2%3ANONE%22%2C%22NBSWAPP_MISC_1%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN5%3ANONE%22%2C%22NBDISPLAY_SHELL_2ND%3ANONE%22%2C%22NBCPU_LABEL%3AINTEL_CORE_I5_9G_TITANIUM%22%2C%22NBITC_ESSENTIAL_IMAGE%3ANONE%22%2C%22NBITC_CI_SMART_IMAGING_SVC%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN2%3ANONE%22%2C%22NBRECOVERY_MEDIA%3ANONE%22%2C%22NBACCESSORIES_3%3ANONE%22%2C%22NBSYSTEM_UNIT%3AX1E2_I5-9300H_NVG0_4G%22%2C%22NBITC_DROP_IN_BOX%3ANONE%22%2C%22NB3PO_SOFTWARE_WINMAGIC%3ANONE%22%2C%22NBITC_CI_IMAGING_SERVICE_PN3%3ANONE%22%2C%22NBITC_VPRO_PROVISIONING_SVC%3ANONE%22%2C%22NBHDD_CONFIG%3ASSD%22%2C%22NBPANEL%3AMIDDLE_RESOLUTION%22%2C%22NBITC_LASER_ETCHING%3ANONE%22%2C%22NBSWAPP_MISC_2%3ANONE%22%2C%22NBPACKAGE_BOX%3ARETAIL%22%2C%22NBITC_BIOS_CUSTOMIZATION_SVC%3ANONE%22%2C%22NBOFFERING_MODEL%3ATRANSACTIONAL_MODEL%22%2C%22NBITC_CI_IMAGING_SERVICE_PN6%3ANONE%22%2C%22NBSWAPP_MISC_3%3ANONE%22%2C%22NBACCESSORIES_1%3ANONE%22%2C%22NBKEYBOARD_PATCH%3ANONE%22%2C%22NBITC_ESSENTIAL_PREM_ASSET_TAG%3ANONE%22%2C%22NBOSL_DERIVE%3AENG%22%2C%22NBKB_DERIVE%3AENG%22%2C%22NBGOOGLE_CHROME_BROWSER%3ANONE%22%2C%22NBMB_FRU_LABEL%3AWIN_N-AMT_Y-DTPM%22%2C%22NBPUBLICATION_2%3APUB_ENG%2FBRL%2FFRA%2FARA%2FSPA%22%2C%22NBOS_DPK%3AW10_HOME%22%5D,CTO
81CT001SUS,,MTM
